number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boosting_type,params_feature_fraction,params_learning_rate,params_max_depth,params_num_iterations,params_num_leaves,params_tree_learner,state
0,0.70362,2022-02-16 22:15:30.124614,2022-02-16 22:15:36.292134,0 days 00:00:06.167520,0.7454876115064948,rf,0.8348968382343468,0.28238087122864397,2,7,4,voting,COMPLETE
1,0.5463,2022-02-16 22:15:36.356151,2022-02-16 22:15:52.200511,0 days 00:00:15.844360,0.9572386499714356,gbdt,0.819175290181023,0.007075098452860236,6,4,4,feature,COMPLETE
2,0.71024,2022-02-16 22:15:52.281176,2022-02-16 22:24:54.124476,0 days 00:09:01.843300,0.9531851380216269,dart,0.7166489701480465,0.1282722228359296,4,8,3,feature,COMPLETE
3,0.7036,2022-02-16 22:24:54.199805,2022-02-16 22:25:25.427850,0 days 00:00:31.228045,0.5548282156114579,dart,0.7975249160470574,0.022819540524716384,8,1,6,serial,COMPLETE
4,0.70346,2022-02-16 22:25:25.504598,2022-02-16 22:25:36.489255,0 days 00:00:10.984657,0.5958808375462902,rf,0.6873355514954381,0.08887987086664519,5,1,5,serial,COMPLETE
5,0.5,2022-02-16 22:25:36.563316,2022-02-16 22:25:45.567127,0 days 00:00:09.003811,0.7042092335233197,gbdt,0.7625673146404918,0.014368357833870105,1,5,9,serial,COMPLETE
6,0.7101,2022-02-16 22:25:45.643293,2022-02-16 22:27:31.920501,0 days 00:01:46.277208,0.7147718417499895,dart,0.5747606595905076,0.2296063999346258,1,4,7,voting,COMPLETE
7,0.6119,2022-02-16 22:27:31.998165,2022-02-16 22:27:42.129295,0 days 00:00:10.131130,0.8904649200253463,gbdt,0.7733028059294502,0.17108158339793444,5,6,8,feature,COMPLETE
8,0.7041600000000001,2022-02-16 22:27:42.202691,2022-02-16 22:27:56.792863,0 days 00:00:14.590172,0.6237817199727999,rf,0.6705243085059795,0.3465573759013322,8,2,9,serial,COMPLETE
9,0.70946,2022-02-16 22:27:56.866382,2022-02-16 22:41:49.444050,0 days 00:13:52.577668,0.5359378463799829,dart,0.5269531337490496,0.023405575421239746,2,10,7,serial,COMPLETE
10,0.70988,2022-02-16 22:41:49.518306,2022-02-16 22:48:44.140973,0 days 00:06:54.622667,0.8517896790251814,dart,0.9219202040557288,0.07307276058723877,3,9,1,data,COMPLETE
11,0.7102599999999999,2022-02-16 22:48:44.217351,2022-02-16 22:56:47.611486,0 days 00:08:03.394135,0.7608400974618997,dart,0.5526577150912059,0.12158185371876697,3,8,2,voting,COMPLETE
12,0.71036,2022-02-16 22:56:47.704927,2022-02-16 23:02:20.277251,0 days 00:05:32.572324,0.8177332924929709,dart,0.6224590793578018,0.10920185616863536,4,8,1,feature,COMPLETE
13,0.7090799999999999,2022-02-16 23:02:20.359579,2022-02-16 23:11:22.590055,0 days 00:09:02.230476,0.7979458423934097,dart,0.6210194786770731,0.040093872400824945,4,8,1,voting,COMPLETE
14,0.7102,2022-02-16 23:11:22.684686,2022-02-16 23:25:28.976574,0 days 00:14:06.291888,0.8045675259261714,dart,0.5139651791390648,0.05300996366910491,3,10,2,data,COMPLETE
15,0.7090799999999999,2022-02-16 23:25:29.055520,2022-02-16 23:29:52.781498,0 days 00:04:23.725978,0.6498972203652248,dart,0.610035830963723,0.4395720239510346,6,7,2,voting,COMPLETE
16,0.71028,2022-02-16 23:29:52.867482,2022-02-16 23:38:42.186930,0 days 00:08:49.319448,0.7843267059700083,dart,0.566883680920633,0.11882245158556637,3,8,3,feature,COMPLETE
17,0.7095600000000001,2022-02-16 23:38:42.263239,2022-02-16 23:44:11.532679,0 days 00:05:29.269440,0.8904211099704048,dart,0.6390450110230065,0.04146955181639374,6,6,3,feature,COMPLETE
18,0.7034,2022-02-16 23:44:11.607621,2022-02-16 23:44:21.805928,0 days 00:00:10.198307,0.8328492718755073,rf,0.5817250789340166,0.07763800384265965,2,9,4,feature,COMPLETE
19,0.5,2022-02-16 23:44:21.878901,2022-02-16 23:44:28.306986,0 days 00:00:06.428085,0.6768535063939066,gbdt,0.9047050576694535,0.1708770295954717,4,9,1,feature,COMPLETE
20,0.70926,2022-02-16 23:44:28.380261,2022-02-16 23:51:27.311281,0 days 00:06:58.931020,0.9081747998732037,dart,0.6642363299466476,0.024071283912419833,5,7,3,feature,COMPLETE
21,0.71074,2022-02-16 23:51:27.388810,2022-02-16 23:57:54.570599,0 days 00:06:27.181789,0.7659352829306761,dart,0.5448477454369689,0.1146844805190286,3,8,2,voting,COMPLETE
22,0.7101600000000001,2022-02-16 23:57:54.645294,2022-02-17 00:04:16.478195,0 days 00:06:21.832901,0.7778235212079426,dart,0.5091042719541543,0.12867548676829646,3,8,2,feature,COMPLETE
23,0.71036,2022-02-17 00:04:16.558641,2022-02-17 00:09:54.199993,0 days 00:05:37.641352,0.8469832249578473,dart,0.5811776744809163,0.19187488366547992,4,10,1,data,COMPLETE
24,0.71028,2022-02-17 00:09:54.274858,2022-02-17 00:15:25.958452,0 days 00:05:31.683594,0.839472453431615,dart,0.6090877461758775,0.21463075006530072,4,10,1,data,COMPLETE
25,0.71008,2022-02-17 00:15:26.035459,2022-02-17 00:19:07.773957,0 days 00:03:41.738498,0.7137500597686242,dart,0.7267341411158652,0.4682757895763017,7,9,1,data,COMPLETE
26,0.71038,2022-02-17 00:19:07.846288,2022-02-17 00:27:52.948036,0 days 00:08:45.101748,0.854130341663851,dart,0.5550246284777843,0.0644614530700724,4,10,2,data,COMPLETE
27,0.71026,2022-02-17 00:27:53.020847,2022-02-17 00:40:23.211856,0 days 00:12:30.191009,0.8659831144041623,dart,0.5439439076425561,0.06031040616885517,5,10,5,data,COMPLETE
28,0.5242,2022-02-17 00:40:23.282266,2022-02-17 00:40:33.206357,0 days 00:00:09.924091,0.9888730940172278,gbdt,0.500152568828893,0.03708771673386158,2,5,10,voting,COMPLETE
29,0.70366,2022-02-17 00:40:33.278787,2022-02-17 00:40:44.483120,0 days 00:00:11.204333,0.7311102350206355,rf,0.5845600653685379,0.2615258202760878,3,10,4,data,COMPLETE
30,0.70252,2022-02-17 00:40:44.555676,2022-02-17 00:40:55.444897,0 days 00:00:10.889221,0.9103213686251375,rf,0.9719327837933227,0.33161927296725235,2,9,2,data,COMPLETE
31,0.71056,2022-02-17 00:40:55.521204,2022-02-17 00:45:57.162137,0 days 00:05:01.640933,0.8193831829431021,dart,0.6431868846157409,0.09789003464914846,4,7,2,data,COMPLETE
32,0.7099,2022-02-17 00:45:57.235467,2022-02-17 00:51:31.276386,0 days 00:05:34.040919,0.7500656311779234,dart,0.6536934981684349,0.16974985954527103,4,7,3,data,COMPLETE
33,0.7002200000000001,2022-02-17 00:51:31.355337,2022-02-17 00:55:54.149263,0 days 00:04:22.793926,0.8679668750476142,dart,0.7043247172089422,0.006363747084390052,5,6,2,data,COMPLETE
34,0.71006,2022-02-17 00:55:54.225025,2022-02-17 01:03:15.937139,0 days 00:07:21.712114,0.9343500005253083,dart,0.5363353823568949,0.06126950405628018,4,7,4,data,COMPLETE
35,0.70978,2022-02-17 01:03:16.014190,2022-02-17 01:10:49.558307,0 days 00:07:33.544117,0.8040770043281372,dart,0.6355941459348056,0.10555409927027357,3,8,3,voting,COMPLETE
