Features,Scores
number_order,0.37023999999999996
most_frequent_platform,0.08006
total_amount_paid,0.07524
most_frequent_transmission,0.0521
payment_frequency,0.034839999999999996
city_frequency,0.030299999999999994
most_frequent_city,0.028560000000000002
amount_platform_30359,0.0243
min_amount_paid,0.02256
amount_payment_1779,0.02158
number_unique_transmission,0.02114
cos_order_hour,0.020319999999999998
sin_order_hour,0.01792
most_frequent_payment,0.017759999999999998
max_delivery_fee,0.01734
transmission_frequency,0.01592
max_amount_paid,0.015160000000000002
amount_transmission_4228,0.01454
avg_order_hour,0.014240000000000003
number_unique_restaurant,0.01346
amount_payment_1619,0.0117
platform_frequency,0.01162
amount_transmission_4324,0.01126
number_return,0.01
number_unique_platform,0.00902
restaurant_frequency,0.007519999999999999
number_unique_payment,0.00626
amount_transmission_4356,0.00574
amount_platform_30231,0.0036999999999999997
amount_platform_29463,0.00352
min_delivery_fee,0.0034200000000000003
amount_platform_29815,0.0034000000000000002
number_unique_city,0.0028200000000000005
total_delivery_fee,0.0025399999999999997
