Features,Scores
number_order,0.4159
total_amount_paid,0.0772
most_frequent_platform,0.077
most_frequent_transmission,0.0546
city_frequency,0.0389
most_frequent_city,0.0299
number_unique_transmission,0.0289
amount_platform_30359,0.0235
cos_order_hour,0.0224
amount_payment_1779,0.0196
most_frequent_payment,0.0191
transmission_frequency,0.0168
min_amount_paid,0.016
max_amount_paid,0.0141
number_unique_restaurant,0.014
amount_transmission_4228,0.0139
avg_order_hour,0.0138
max_delivery_fee,0.0125
sin_order_hour,0.0125
amount_payment_1619,0.01
payment_frequency,0.0094
number_return,0.0089
amount_transmission_4324,0.0084
number_unique_platform,0.0075
restaurant_frequency,0.006
amount_transmission_4356,0.0059
platform_frequency,0.0057
number_unique_payment,0.0037
min_delivery_fee,0.0029
amount_platform_30231,0.0028
amount_platform_29815,0.0025
total_delivery_fee,0.0023
number_unique_city,0.0019
amount_platform_29463,0.0016
