Features,Scores
number_order,0.14984
most_frequent_platform,0.08896000000000001
most_frequent_transmission,0.08634
total_amount_paid,0.0645
most_frequent_city,0.06026
city_frequency,0.05054000000000001
min_amount_paid,0.04382
amount_platform_30359,0.035359999999999996
payment_frequency,0.03506
amount_payment_1619,0.03422
amount_payment_1779,0.03066
cos_order_hour,0.027339999999999996
sin_order_hour,0.02544
transmission_frequency,0.023020000000000002
number_return,0.022940000000000002
number_unique_restaurant,0.021939999999999998
max_amount_paid,0.02092
amount_transmission_4228,0.020580000000000005
avg_order_hour,0.019440000000000002
amount_transmission_4324,0.015539999999999998
max_delivery_fee,0.013779999999999997
amount_platform_29815,0.01304
platform_frequency,0.012320000000000001
amount_transmission_4356,0.0119
number_unique_transmission,0.011859999999999999
most_frequent_payment,0.01094
amount_platform_30231,0.00852
amount_platform_29463,0.007679999999999999
number_unique_city,0.00716
total_delivery_fee,0.007040000000000002
number_unique_platform,0.00642
restaurant_frequency,0.0049
min_delivery_fee,0.004680000000000001
number_unique_payment,0.0031599999999999996
