Features,Scores
number_order,0.15
most_frequent_platform,0.0891
most_frequent_transmission,0.0838
total_amount_paid,0.0655
most_frequent_city,0.0614
city_frequency,0.05
min_amount_paid,0.045
amount_platform_30359,0.0357
amount_payment_1779,0.0325
amount_payment_1619,0.0323
sin_order_hour,0.03
payment_frequency,0.0296
amount_transmission_4228,0.0255
cos_order_hour,0.025
number_unique_restaurant,0.0234
max_amount_paid,0.0202
transmission_frequency,0.02
number_return,0.0184
avg_order_hour,0.0171
amount_transmission_4324,0.017
amount_platform_29815,0.0161
max_delivery_fee,0.015
number_unique_transmission,0.0139
amount_platform_30231,0.0114
amount_transmission_4356,0.0109
platform_frequency,0.01
most_frequent_payment,0.01
total_delivery_fee,0.008
number_unique_city,0.0079
number_unique_platform,0.0075
amount_platform_29463,0.0073
restaurant_frequency,0.0036
min_delivery_fee,0.0034
number_unique_payment,0.0034
